a,'eɪ
about,ə'baʊt
across,ə'krɒs
active,'æktɪv
above,ə'bʌv
act,'ækt
activity,æk'tɪvətɪ
add,'æd
again,ə'gen
after,'ɑ:ftə
afraid,ə'freɪd
age,'eɪdʒ
ago,ə'gəʊ
all,'ɔ:l
agree,ə'gri:
alone,ə'ləʊn
air,'eə
along,ə'lɒŋ
already,ɔ:l'redɪ
always,'ɔ:lweɪz
am,æm
an,'æn
and,'ænd
amount,ə'maʊnt
angry,'æŋgrɪ
another,ə'nʌðə
any,'enɪ
answer,'ɑ:nsə
anyone,'enɪwʌn
anything,'enɪθɪŋ
appear,ə'pɪə
are,'ɑ:
apple,'æpəl
area,'eərɪə
arm,'ɑ:m
army,'ɑ:mɪ
arrive,ə'raɪv
around,ə'raʊnd
art,ɑ:t
ask,'ɑ:sk
as,'æz
at,'æt
attack,ə'tæk
baby,'beɪbɪ
aunt,'ɑ:nt
autumn,'ɔ:təm
away,ə'weɪ
base,'beɪs
bad,'bæd
back,'bæk
ball,'bɔ:l
bag,'bæg
bank,'bæŋk
basket,'bɑ:skɪt
bath,'bɑ:θ
be,'bi:
bear,'beə
beautiful,'bju:təfʊl
beer,'bɪə
bedroom,'bedrʊm
bed,'bed
behave,bɪ'heɪv
before,bɪ'fɔ:
begin,bɪ'gɪn
bell,'bel
behind,bɪ'haɪnd
below,bɪ'ləʊ
besides,bɪ'saɪdz
best,'best
better,'betə
between,bɪ'twi:n
big,'bɪg
bird,'bɜ:d
birth,'bɜ:θ
birthday,'bɜ:θdeɪ
bit,'bɪt
bite,'baɪt
black,'blæk
block,'blɒk
blood,'blʌd
blow,'bləʊ
blue,'blu:
board,'bɔ:d
boat,'bəʊt
body,'bɒdɪ
boil,'bɔɪl
bone,'bəʊn
book,'bʊk
border,'bɔ:də
born,'bɔ:n
borrow,'bɒrəʊ
bottle,'bɒtəl
both,'bəʊθ
bowl,'bəʊl
bottom,'bɒtəm
box,'bɒks
brave,'breɪv
branch,'brɑ:ntʃ
boy,'bɔɪ
bread,'bred
break,'breɪk
breakfast,'brekfəst
breathe,'bri:ð
bright,'braɪt
bridge,'brɪdʒ
bring,'brɪŋ
brother,'brʌðə
brown,'braʊn
brush,'brʌʃ
build,'bɪld
burn,'bɜ:n
business,'bɪznəs
busy,'bɪzɪ
bus,'bʌs
but,'bʌt
buy,'baɪ
by,'baɪ
cake,'keɪk
call,'kɔ:l
can,'kæn
candle,'kændəl
cap,'kæp
car,'kɑ:
card,'kɑ:d
care,'keə
careful,'keəfʊl
carry,'kærɪ
case,'keɪs
catch,'kætʃ
cat,'kæt
central,'sentrəl
century,'sentʃərɪ
certain,'sɜ:tən
chance,'tʃɑ:ns
chair,'tʃeə
chase,'tʃeɪs
change,'tʃeɪndʒ
cheap,'tʃi:p
cheese,'tʃi:z
child,'tʃaɪld
chicken,'tʃɪkɪn
chocolate,'tʃɒkələt
children,'tʃɪldrən
choice,'tʃɔɪs
choose,'tʃu:z
circle,'sɜ:kəl
city,'sɪtɪ
class,'klɑ:s
clever,'klevə
clean,'kli:n
clear,'klɪə
climb,'klaɪm
clock,'klɒk
clothes,'kləʊðz
cloth,'klɒθ
cloud,'klaʊd
close,'kləʊs
coffee,'kɒfɪ
coin,'kɔɪn
coat,'kəʊt
cold,'kəʊld
come,'kʌm
collect,'kɒlekt
colour,'kʌlə
common,'kɒmən
comfortable,'kʌmfətəbəl
complete,kəm'pli:t
compare,kəm'peə
computer,kəm'pju:tə
continue,kən'tɪnju:
condition,kən'dɪʃən
cook,'kʊk
control,kən'trəʊl
cool,'ku:l
copper,'kɒpə
corn,'kɔ:n
corner,'kɔ:nə
correct,kə'rekt
contain,kən'teɪn
cost,'kɒst
count,'kaʊnt
course,'kɔ:s
country,'kʌntrɪ
cover,'kʌvə
cross,'krɒs
crash,'kræʃ
cry,'kraɪ
cup,'kʌp
cupboard,'kʌbəd
dangerous,'deɪndʒərəs
cut,'kʌt
dance,'dɑ:ns
dark,'dɑ:k
daughter,'dɔ:tə
day,'deɪ
dead,'ded
decide,dɪ'saɪd
deep,'di:p
decrease,'di:kri:s
deer,'dɪə
depend,dɪ'pend
desk,'desk
destroy,dɪ'strɔɪ
die,'daɪ
develop,dɪ'veləp
different,'dɪfrənt
dinner,'dɪnə
difficult,'dɪfɪkəlt
direction,dɪ'rekʃən
dirty,'dɜ:tɪ
discover,dɪ'skʌvə
dish,'dɪʃ
do,'du:
dog,'dɒg
door,'dɔ:
double,'dʌbəl
down,'daʊn
draw,'drɔ:
dream,'dri:m
dress,'dres
drink,'drɪŋk
drive,'draɪv
drop,'drɒp
dry,'draɪ
duck,'dʌk
dust,'dʌst
duty,'dju:tɪ
each,'i:tʃ
ear,'ɪə
early,'ɜ:lɪ
earn,'ɜ:n
earth,'ɜ:θ
east,'i:st
easy,'i:zɪ
eat,'i:t
education,ˌedʒʊ'keɪʃən
effect,ɪ'fekt
egg,'eg
eight,'eɪt
either,'aɪðə
electric,ɪ'lektrɪk
elephant,'elɪfənt
else,'els
end,'end
enemy,'enəmɪ
empty,'emptɪ
enjoy,ɪn'dʒɔɪ
enough,ɪ'nʌf
enter,'entə
equal,'i:kwəl
entrance,'entrəns
escape,ɪ'skeɪp
even,'i:vən
evening,'i:vənɪŋ
event,ɪ'vent
ever,'evə
everyone,'evrɪwʌn
every,'evrɪ
examination,ɪgˌzæmɪ'neɪʃən
example,ɪg'zɑ:mpəl
exact,ɪg'zækt
everybody,'evrɪˌbɒdɪ
excited,ɪk'saɪtɪd
except,ɪk'sept
expect,ɪk'spekt
exercise,'eksəsaɪz
eye,'aɪ
extremely,ɪk'stri:mlɪ
face,'feɪs
explain,ɪk'spleɪn
expensive,ɪk'spensɪv
fail,'feɪl
fact,'fækt
fall,'fɔ:l
false,'fɔ:ls
family,'fæməlɪ
famous,'feɪməs
far,'fɑ:
farm,'fɑ:m
father,'fɑ:ðə
fast,'fɑ:st
fat,'fæt
fear,'fɪə
fault,'fɔ:lt
feed,'fi:d
feel,'fi:l
female,'fi:meɪl
fever,'fi:və
fight,'faɪt
few,'fju:
fill,'fɪl
film,'fɪlm
find,'faɪnd
finger,'fɪŋgə
fine,'faɪn
finish,'fɪnɪʃ
fire,'faɪə
first,'fɜ:st
fit,'fɪt
five,'faɪv
fix,'fɪks
flag,'flæg
flat,'flæt
float,'fləʊt
floor,'flɔ:
flower,'flaʊə
flour,'flaʊə
fly,'flaɪ
fold,'fəʊld
food,'fu:d
fool,'fu:l
foot,'fʊt
football,'fʊtbɔ:l
force,'fɔ:s
for,'fɔ:
foreign,'fɒrən
forest,'fɒrɪst
forgive,fə'gɪv
forget,fə'get
form,'fɔ:m
fork,'fɔ:k
fox,'fɒks
four,'fɔ:
freedom,'fri:dəm
free,'fri:
freeze,'fri:z
fresh,'freʃ
friend,'frend
friendly,'frendlɪ
full,'fʊl
from,'frɒm
front,'frʌnt
fruit,'fru:t
fun,'fʌn
funny,'fʌnɪ
further,'fɜ:ðə
furniture,'fɜ:nɪtʃə
future,'fju:tʃə
game,'geɪm
garden,'gɑ:dən
gate,'geɪt
gift,'gɪft
general,'dʒenərəl
gentleman,'dʒentəlmən
get,'get
give,'gɪv
glass,'glɑ:s
glad,'glæd
go,'gəʊ
god,'gɒd
gold,'gəʊld
good,'gʊd
goodbye,ˌgʊd'baɪ
grandfather,'grændˌfɑ:ðə
grandmother,'grænˌmʌðə
grass,'grɑ:s
grave,'grɑ:v
great,'greɪt
green,'gri:n
grey,'greɪ
ground,'graʊnd
group,'gru:p
grow,'grəʊ
gun,'gʌn
hair,'heə
half,'hɑ:f
hammer,'hæmə
hall,'hɔ:l
hand,'hænd
happen,'hæpən
happy,'hæpɪ
hard,'hɑ:d
hat,'hæt
hate,'heɪt
have,'hæv
he,'hi:
head,'hed
healthy,'helθɪ
hear,'hɪə
heavy,'hevɪ
hello,hə'ləʊ
heart,'hɑ:t
help,'help
height,'haɪt
heaven,'hevən
her,'hɜ:
here,'hɪə
hers,'hɜ:z
hide,'haɪd
high,'haɪ
hill,'hɪl
him,'hɪm
his,'hɪz
hit,'hɪt
hold,'həʊld
